Size,InsertTime,SearchTime,DeleteTime
300000,0.3428749442100525,0.012540996074676514,0.07495802640914917
600000,0.006125032901763916,0.019041001796722412,0.008957982063293457
900000,0.006875038146972656,0.005875051021575928,0.0037090182304382324
1200000,0.008958995342254639,0.0024170279502868652,0.009832978248596191
1500000,0.0071250200271606445,0.9761250019073486,0.004082977771759033
1800000,0.006457984447479248,0.0023329854011535645,0.022874951362609863
2100000,0.004499971866607666,0.0015000104904174805,0.01341700553894043
2400000,0.005083978176116943,0.0012080073356628418,0.011749982833862305
2700000,0.0051250457763671875,0.0016250014305114746,0.00475001335144043
3000000,0.005042016506195068,0.001332998275756836,0.005375027656555176
3300000,0.004417002201080322,0.0014170408248901367,0.11845797300338745
3600000,0.004916965961456299,0.0018329620361328125,0.018207967281341553
3900000,0.00533294677734375,0.002083003520965576,0.007166028022766113
4200000,0.004415988922119141,0.0016660094261169434,0.0022079944610595703
4500000,0.004833042621612549,0.0014169812202453613,0.007957994937896729
4800000,0.004707992076873779,0.0017499923706054688,0.007375001907348633
5100000,0.005124986171722412,0.0020000338554382324,0.007375001907348633
5400000,0.005333006381988525,0.001958012580871582,0.008082985877990723
5700000,0.0048329830169677734,0.0017499923706054688,0.007416963577270508
6000000,0.0048329830169677734,0.0016250014305114746,0.007291972637176514
6300000,0.004875004291534424,0.001665949821472168,0.007624983787536621
6600000,0.005041003227233887,0.0017079710960388184,0.025624990463256836
6900000,0.004916965961456299,0.0012919902801513672,0.01712501049041748
7200000,0.004915952682495117,0.001708984375,0.005583047866821289
7500000,0.009874999523162842,0.0029579997062683105,0.003957986831665039
7800000,0.006584048271179199,0.0017910003662109375,0.004124999046325684
8100000,0.004999995231628418,0.0015000104904174805,0.0046250224113464355
8400000,0.005041003227233887,0.0016250014305114746,0.016582965850830078
8700000,0.004875004291534424,0.0018749833106994629,0.004583001136779785
9000000,0.004333019256591797,0.0017090439796447754,0.004249989986419678
9300000,0.005207955837249756,0.0015839934349060059,0.004124999046325684
9600000,0.005333006381988525,0.0019589662551879883,0.004082977771759033
9900000,0.005334019660949707,0.0015840530395507812,0.004292011260986328
10200000,0.006999969482421875,0.0016250014305114746,0.006708979606628418
10500000,0.005208015441894531,0.0018749833106994629,0.004458963871002197
10800000,0.005083978176116943,0.001667022705078125,0.00791698694229126
11100000,0.005541980266571045,0.0018329620361328125,0.005124986171722412
11400000,0.005249977111816406,0.0017080307006835938,0.0046250224113464355
11700000,0.0059999823570251465,0.0018339753150939941,0.004417002201080322
12000000,0.005541980266571045,0.0015410184860229492,0.004415988922119141
12300000,0.005042016506195068,0.0018749833106994629,0.004707992076873779
12600000,0.0051250457763671875,0.0017079710960388184,0.004417002201080322
12900000,0.005290985107421875,0.0015829801559448242,0.004708051681518555
13200000,0.005707979202270508,0.0018329620361328125,0.00391697883605957
13500000,0.00479203462600708,0.001667022705078125,0.0048329830169677734
